Park,PlotID,Date,Observers,GroundCover,VegetationLevels,PastLandUse,Coordinates,Temperature,DensiometerN,DensiometerS,DensiometerE,DensiometerW,Comments,Park size,Established,Park age,Conservation area,Complexity
Angrignon,AGR1-HIGH01,08/09/2022,"EP, LG, IR",Grass,overstory,Agricultural,"45°26.689'N, 073°35.629'W","16°C, Drizzle",84,89,93,91,,,,,,
Angrignon,AGR1-HIGH03,08/09/2022,"EP, LG, IR","gravel path, grass, leaf litter, herbaceous vegetation","shrub, overstory, understory",Agricultural,"45°26.544'N, 073°36.004'W","16°C, Overcast ",94,83,89,92,,,,,,
Angrignon,AGR1-HIGH04,08/09/2022,"EP, LG, IR","Herbaceous vegetation, leaf litter, bare soil","shrub, overstory, understory",Agricultural,"45°26.653'N, 073°36.090'W","17°C, Overcast",92,94,82,41,,,,,,
Angrignon,AGR1-LOW01,08/09/2022,"EP, LG, IR","Grass, gravel path","shrub, overstory, understory",Agricultural,"45°26.566'N, 073°35.858'W","16°C, Overcast",79,0,0,7,,,,,,
Angrignon,AGR1-LOW02,08/09/2022,"EP, LG, IR","Grass, gravel path",overstory,Agricultural,"45°26.751'N, 073°35.901'W","17°C, Overcast",21,40,62,32,,,,,,
Angrignon,AGR1-LOW04,08/09/2022,"EP, LG, IR","Grass, ditch, cement path","shrub, overstory, understory",Agricultural,"45°26.666'N, 073°36.230'W","17°C, Overcast",41,23,71,0,,,,,,
Angrignon,AGR1-MED01,08/09/2022,"EP, LG, IR","Grass, herbaceous vegetation","shrub, overstory, understory",Agricultural,"45°26.690'N, 073°35.978'W","16°C, Overcast",1,87,43,61,,,,,,
Angrignon,AGR1-MED02,08/09/2022,"EP, LG, IR","Cement path, road, grass, bare soil",overstory,Agricultural,"45°26.665'N, 073°36.399'W","16°C, Overcast",95,94,72,89,,,,,,
Angrignon,AGR1-MED06,08/09/2022,"EP, LG, IR","Grass, dirt path, herbaceous vegetation","shrub, overstory, understory",Agricultural,"45°26.710'N, 073°35.902'W","16°C, Overcast",10,39,80,69,,,,,,
Saint-Gabriel ,AGR10-HIGH01,06/20/2022,"EP,IR,LG","cement path, grass",overstory,Agricultural,"45°28.698'N, 073°33.956'W","20°C, sunny ",91,80,95,94,,,,,,
Saint-Gabriel ,AGR10-HIGH02,06/20/2022,"EP,IR,LG",,overstory,Agricultural,"45°28.688'N, 073°33.951'W","20°C, sunny ",41,90,93,86,GPS point is at eastern border of plot to avoid overlap ,,,,,
Saint-Gabriel ,AGR10-HIGH04,06/20/2022,"EP,IR,LG","grass, cement path ",overstory,Agricultural,"45°28.656'N, 073°34.003'W","20°C, sunny ",95,95,90,96,,,,,,
Saint-Gabriel ,AGR10-MED01,06/20/2022,"EP,IR,LG",,overstory,Agricultural,"45°28.682'N, 073°33.929'W","20°C, sunny ",91,92,93,91,,,,,,
Saint-Gabriel ,AGR10-MED02,06/20/2022,"EP,IR,LG","grass, cement path ",overstory,Agricultural,"45°28.659'N, 073°33.985'W","20°C, sunny ",82,82,92,75,West transect 18m to avoid overap ,,,,,
Saint-Gabriel ,AGR10-MED03,06/20/2022,"EP,IR,LG","grass, cement path",overstory,Agricultural,"45°28.655'N, 073°34.032'W","20°C, sunny ",87,78,79,79,,,,,,
Pointe-aux-Prairies,AGR11-HIGH04,07/13/2022,"MP, LG, AT, GG, EP","dirt path, low vegetation, shrubs","shrub, overstory",Agricultural,"45°40.531'N, 073°29.582'W","25°C, Sunny",91,95,92,96,no mini plot,,,,,
Pointe-aux-Prairies,AGR11-HIGH06,07/13/2022,"LG, AT, GG, EP, MP","low vegetation, shrubs","shrub, overstory, understory",Agricultural,"45°40.558'N, 073°29.577'W","27°C, Partly Cloudy",95,92,92,84,,,,,,
Pointe-aux-Prairies,AGR11-HIGH07,07/19/2022,"EP, LG, IR","leaf litter, herbaceous vegetation","shrub, overstory, understory",Agricultural,"45°40.513'N, 073°29.516'W",,92,93,93,93,,,,,,
Pointe-aux-Prairies,AGR11-LOW02,07/07/2022,"AT, EP, LG, MP, IR",herbaceous vegetation,"overstory, understory",Agricultural,"45°41.650'N, 073°30.816'W","20°C, Sunny",20,0,91,80,,,,,,
Pointe-aux-Prairies,AGR11-LOW03,07/07/2022,"EP, AT, LG, MP, IR",herbaceous vegetation,"shrub, overstory, understory",Agricultural,,"22°C, Sunny",15,14,13,23,,,,,,
Pointe-aux-Prairies,AGR11-LOW04,07/07/2022,"EP, AT, LG, MP, IR",herbaceous vegetation,,Agricultural,"45°41.247'N, 073°30.874'W","24°C, Sunny",20,0,0,24,,,,,,
Pointe-aux-Prairies,AGR11-MED01,07/07/2022,"EP, LG, AT, MP, IR","gravel path, grass, herbaceous vegetation","overstory, understory",Agricultural,"45°41.778'N, 073°30.862'W","20°C, Sunny",13,21,0,96,,,,,,
Pointe-aux-Prairies,AGR11-MED02,07/07/2022,"AT, EP, LG, MP, IR","herbaceous vegetation, leaf litter, bare soil","shrub, overstory, understory",Agricultural,"45°41.561'N, 073°30.938'W","22°C, Sunny",96,0,19,73,,,,,,
Pointe-aux-Prairies,AGR11-MED04,07/07/2022,"AT, EP, LG, MP, IR",herbaceous vegetation,"shrub, overstory, understory",Agricultural,"45°41.713'N, 073°30.981'W","20°C, Sunny",8,3,12,78,,,,,,
Cap-Saint-Jacques,AGR2-HIGH02,08/02/2022,"EP, LG","bare soil, herbaceous vegetation","shrub, overstory, understory",Agricultural,"45°27.927'N, 073°55.720'W","23°C, Sunny",89,95,92,94,,,,,,
Cap-Saint-Jacques,AGR2-HIGH03,07/28/2022,"LG, AT, IR","mulch, leaf litter, herbaceous vegetation","overstory, understory",Agricultural,"45°27.685'N, 073°55.949'W","28°C, Sunny ",92,89,95,89,,,,,,
Cap-Saint-Jacques,AGR2-HIGH05,08/02/2022,"EP, LG","bare soil, herbaceous vegetation","shrub, overstory, understory",Agricultural,"45°27.937'N, 073°55.537'W","23°C, Cloudy ",89,95,90,92,,,,,,
Cap-Saint-Jacques,AGR2-LOW03,08/02/2022,"LG, GG, IR","Grass, dirt path",overstory,Agricultural,"45°20.196'N, 073°56.163'W","21°C, Sunny",14,4,89,0,,,,,,
Cap-Saint-Jacques,AGR2-LOW04,07/28/2022,"LG, AT, IR","gravel path, herbaceous vegetation","shrub, understory",Agricultural,"45°27.864'N, 073°56.053'W","27°C, Sunny ",10,34,0,23,,,,,,
