Parks,Variable,Proprtion 
Jean-Drapeau,Invaisve ,0.015748031
Jean-Drapeau,Native ,0.9448819
Jean-Drapeau,Non-native,0.03937008
Angrignon,Invasive,0.084158416
Angrignon,Native ,0.9158416
Angrignon,Non-native,0.08415842
Cap-Saint-Jacques,Invasive,0.524296675
Cap-Saint-Jacques,Native ,0.4757033
Cap-Saint-Jacques,Non-native,0.52429668
Île-Bizard,Invasive,0.243478261
Île-Bizard,Native ,0.7304348
Île-Bizard,Non-native,0.25652174
L'Anse-à-l'Orme ,Invasive,0.130681818
L'Anse-à-l'Orme ,Native ,0.8693182
L'Anse-à-l'Orme ,Non-native,0.13068182
Pointe-aux-Prairies ,Invasive,0.019323671
Pointe-aux-Prairies ,Native ,0.9710145
Pointe-aux-Prairies ,Non-native,0.02415459
Bois-de-Liesse,Invasive,0.305882353
Bois-de-Liesse,Native ,0.6392157
Bois-de-Liesse,Non-native,0.32941176
Bois-de-Saraguay,Invasive,0.05106383
Bois-de-Saraguay,Native ,0.9489362
Bois-de-Saraguay,Non-native,0.05106383
Boisé-de-Saint-Sulpice,Invasive,0.015384615
Boisé-de-Saint-Sulpice,Native ,0.9423077
Boisé-de-Saint-Sulpice,Non-native,0.04230769
Coulée-Grou,Invasive,0.116981132
Coulée-Grou,Native ,0.7849057
Coulée-Grou,Non-native,0.1509434
Thomas-Chapais,Invasive,0.009677419
Thomas-Chapais,Native ,0.9290323
Thomas-Chapais,Non-native,0.06774194
