ParkOfficial,Name,OBJECTID,Established,PastLandUse
Frédéric-Back,Frédéric-Back,,2016,Industrial
Pointe-aux-Prairies,Pointe-aux-Prairies,,1992,Mixed
Jardin Botanique,Jardin Botanique,,1936,Industrial
Adrien-D.-Archambault,Adrien-D.-Archambault,,1988,Industrial
Félix-Leclerc,Félix-Leclerc,,1990,Industrial
Boisé Jean-Milot,Boisé Jean-Milot,,1990,Industrial
Père-Marquette,Père-Marquette,,1953,Industrial
Promenade-Bellerive,Promenade-Bellerive,,1978,Industrial
Lafond,Lafond,,1952-1955,Industrial
Baldwin,Baldwin,,1901,Industrial
Lalancette,Lalancette,,1922,Industrial
Arthur-Therrien,Arthur-Therrien,,1964,Industrial
Monseigneur-J.-A.-Richard,Monseigneur-J.-A.-Richard,,1964,Industrial
Grand parc de l'Ouest,Ile-Bizard,5643,1991,Mixed
Angrignon,Angrignon,,1927,Mixed
Jean-Drapeau,Jean-Drapeau,,1908,Forested
Grand parc de l'Ouest,L'Anse-À-L'Orme,5630,1987,Forested
Bois-de-Liesse,Bois-de-Liesse,,1987,Forested
Bois-de-Saraguay,Bois-de-Saraguay,,1987,Forested
Grand parc de l'Ouest,Cap Saint-Jacques,5685,1985,Mixed
Coulée Grou,Coulée Grou,,1988,Forested
Boisé-De-Saint-Sulpice,Boisé-du-Saint-Sulpice,,1990,Forested
Thomas-Chapais,Thomas-Chapais,,1960,Forested
La Fontaine,La Fontaine,,1845,Agricultural
Parc Fritz,Parc Fritz,,1979,Agricultural
Parc Beaconsfield,Parc Centennial,,1945,Agricultural
Marguerite-Bourgeoys,Marguerite-Bourgeoys ,,1910,Agricultural
Benny,Parc Benny,,1965,Agricultural
Saint-Gabriel,Parc Saint-Gabriel,,1887,Agricultural
