"","Park","Scientific.Name","PropSpecies","Invasive"
"1","Angrignon","Rhamnus cathartica ",0.0693069306930693,"Y"
"2","Angrignon","Rhamnus frangula",0.0148514851485149,"Y"
"3","Bois-de-Liesse","Lonicera periclymenum ",0.0235294117647059,"Y"
"4","Bois-de-Liesse","Rhamnus cathartica ",0.305882352941176,"Y"
"5","Bois-de-Saraguay","Rhamnus cathartica ",0.051063829787234,"Y"
"6","Boisé-de-Saint-Sulpice","Acer plantanoides",0.0230769230769231,"Y"
"7","Boisé-de-Saint-Sulpice","Morus alba",0.00384615384615385,"Y"
"8","Boisé-de-Saint-Sulpice","Rhamnus cathartica ",0.00384615384615385,"Y"
"9","Boisé-de-Saint-Sulpice","Robinia pseudoacacia",0.00384615384615385,"Y"
"10","Boisé-de-Saint-Sulpice","Ulmus pumila",0.00384615384615385,"Y"
"11","Cap-Saint-Jacques","Rhamnus cathartica ",0.524296675191816,"Y"
"12","Coulée-Grou","Lonicera periclymenum ",0.030188679245283,"Y"
"13","Coulée-Grou","Rhamnus cathartica ",0.00377358490566038,"Y"
"14","Coulée-Grou","Robinia pseudoacacia",0.109433962264151,"Y"
"15","Coulée-Grou","Ulmus pumila",0.00377358490566038,"Y"
"16","Île-Bizard","Lonicera periclymenum ",0.00869565217391304,"Y"
"17","Île-Bizard","Rhamnus cathartica ",0.2,"Y"
"18","Île-Bizard","Robinia pseudoacacia",0.0434782608695652,"Y"
"19","Jean-Drapeau","Acer plantanoides",0.015748031496063,"Y"
"20","Jean-Drapeau","Rhamnus cathartica ",0.015748031496063,"Y"
"21","L'Anse-à-l'Orme","Rhamnus cathartica ",0.130681818181818,"Y"
"22","Pointe-aux-Prairies","Acer plantanoides",0.00483091787439614,"Y"
"23","Pointe-aux-Prairies","Rhamnus cathartica ",0.00966183574879227,"Y"
"24","Pointe-aux-Prairies","Robinia pseudoacacia",0.00966183574879227,"Y"
"25","Thomas-Chapais","Lonicera periclymenum ",0.0032258064516129,"Y"
"26","Thomas-Chapais","Rhamnus cathartica ",0.00967741935483871,"Y"
