"","Park","PropInvSp","PropInv"
"1","Angrignon",0.133333333333333,0.0841584158415842
"2","Bois-de-Liesse",0.0952380952380952,0.329411764705882
"3","Bois-de-Saraguay",0.0666666666666667,0.051063829787234
"4","Boisé-de-Saint-Sulpice",0.166666666666667,0.0384615384615385
"5","Cap-Saint-Jacques",0.0714285714285714,0.524296675191816
"6","Coulée-Grou",0.222222222222222,0.147169811320755
"7","Jean-Drapeau",0.1,0.031496062992126
"8","L'Anse-à-l'Orme",0.0588235294117647,0.130681818181818
"9","Pointe-aux-Prairies",0.157894736842105,0.0241545893719807
"10","Thomas-Chapais",0.0952380952380952,0.0129032258064516
"11","Île-Bizard",0.214285714285714,0.252173913043478
