"","PlotID","PropInv"
"1","FOR1-HIGH01",0
"2","FOR1-HIGH03",0.117647058823529
"3","FOR1-HIGH04",0.148936170212766
"4","FOR1-LOW01",0.3
"5","FOR1-LOW02",0
"6","FOR1-LOW05",0
"7","FOR1-MED01",0
"8","FOR1-MED02",0
"9","FOR1-MED05",0
"10","FOR10-HIGH02",0
"11","FOR10-HIGH04",0
"12","FOR10-HIGH05",0
"13","FOR10-MED01",0.0606060606060606
"14","FOR10-MED03",0.0666666666666667
"15","FOR10-MED05",0.0555555555555556
"16","FOR11-HIGH01",0
"17","FOR11-HIGH02",0
"18","FOR11-HIGH06",0
"19","FOR11-LOW01",0
"20","FOR11-LOW04",0
"21","FOR11-LOW06",0
"22","FOR11-MED03",0.0952380952380952
"23","FOR11-MED04",0
"24","FOR11-MED05",0
"25","FOR2-HIGH01",0
"26","FOR2-HIGH03",0
"27","FOR2-HIGH06",0
"28","FOR2-LOW01",0.333333333333333
"29","FOR2-LOW02",0
"30","FOR2-LOW04",0.6
"31","FOR2-MED01",0.633333333333333
"32","FOR2-MED03",0.590909090909091
"33","FOR2-MED04",0.581081081081081
"34","FOR3-HIGH01",0
"35","FOR3-HIGH03",0
"36","FOR3-HIGH06",0
"37","FOR3-LOW03",0
"38","FOR3-LOW04",0
"39","FOR3-LOW05",0
"40","FOR3-MED03",0.473684210526316
"41","FOR3-MED04",0.0731707317073171
"42","FOR3-MED05",0
"43","FOR4-HIGH02",0
"44","FOR4-HIGH03",0.0540540540540541
"45","FOR4-HIGH04",0
"46","FOR4-LOW01",0
"47","FOR4-LOW02",0
"48","FOR4-LOW04",0.105263157894737
"49","FOR4-MED01",0.142857142857143
"50","FOR4-MED02",0.0149253731343284
"51","FOR4-MED05",0
"52","FOR5-HIGH02",0
"53","FOR5-HIGH03",0
"54","FOR5-HIGH05",0
"55","FOR5-LOW01",0.875
"56","FOR5-LOW02",0.648648648648649
"57","FOR5-MED01",1
"58","FOR5-MED02",0.659340659340659
"59","FOR5-MED04",0.855263157894737
"60","FOR6-HIGH01",0.0697674418604651
"61","FOR6-HIGH02",0.012987012987013
"62","FOR6-HIGH03",0.674418604651163
"63","FOR6-LOW02",0
"64","FOR6-LOW03",0
"65","FOR6-LOW05",0
"66","FOR6-MED01",0
"67","FOR6-MED03",0.0769230769230769
"68","FOR6-MED05",0.0882352941176471
"69","FOR7-HIGH01",0
"70","FOR7-HIGH04",0
"71","FOR7-HIGH05",0
"72","FOR7-LOW03",0.515151515151515
"73","FOR7-LOW06",0.909090909090909
"74","FOR7-LOW07",0.571428571428571
"75","FOR7-MED06",0.710526315789474
"76","FOR8-HIGH02",0
"77","FOR8-HIGH03",0
"78","FOR8-HIGH04",0
"79","FOR8-LOW02",0
"80","FOR8-LOW03",0.5
"81","FOR8-MED01",0
"82","FOR8-MED02",0.222222222222222
"83","FOR8-MED03",0
"84","FOR9-HIGH01",0
"85","FOR9-HIGH02",0.0217391304347826
"86","FOR9-HIGH03",0.04
"87","FOR9-LOW01",0
"88","FOR9-LOW02",0.571428571428571
"89","FOR9-LOW04",0
"90","FOR9-MED01",0.411764705882353
"91","FOR9-MED02",0.709677419354839
"92","FOR9-MED03",0
